"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGSUICIDE","PUBLISHED","2010","EMR","","AFG","FMLE","3.9 [2.3-6.2]","3.88000","2.26000","6.23000",""
"SDGSUICIDE","PUBLISHED","2004","EMR","","AFG","BTSX","5.0 [2.9-8.2]","5.03000","2.89000","8.22000",""
"SDGSUICIDE","PUBLISHED","2007","EMR","","AFG","BTSX","4.8 [2.8-7.9]","4.80000","2.78000","7.86000",""
"SDGSUICIDE","PUBLISHED","2001","EMR","","AFG","MLE","5.2 [2.9-8.7]","5.22000","2.93000","8.65000",""
"SDGSUICIDE","PUBLISHED","2001","EMR","","AFG","FMLE","4.8 [2.8-7.8]","4.84000","2.79000","7.77000",""
"SDGSUICIDE","PUBLISHED","2007","EMR","","AFG","MLE","5.3 [3.0-8.8]","5.28000","3.04000","8.76000",""
"SDGSUICIDE","PUBLISHED","2005","EMR","","AFG","BTSX","5.0 [2.9-8.1]","4.97000","2.86000","8.10000",""
"SDGSUICIDE","PUBLISHED","2002","EMR","","AFG","FMLE","4.6 [2.7-7.5]","4.63000","2.67000","7.48000",""
"SDGSUICIDE","PUBLISHED","2018","EMR","","AFG","FMLE","3.5 [2.0-5.8]","3.52000","1.98000","5.81000",""
"SDGSUICIDE","PUBLISHED","2009","EMR","","AFG","MLE","4.8 [2.8-8.0]","4.78000","2.76000","7.97000",""
"SDGSUICIDE","PUBLISHED","2006","EMR","","AFG","BTSX","4.9 [2.8-8.0]","4.91000","2.84000","8.02000",""
"SDGSUICIDE","PUBLISHED","2003","EMR","","AFG","MLE","5.3 [3.0-8.7]","5.28000","3.00000","8.73000",""
"SDGSUICIDE","PUBLISHED","2010","EMR","","AFG","BTSX","4.3 [2.5-7.0]","4.27000","2.47000","7.00000",""
"SDGSUICIDE","PUBLISHED","2018","EMR","","AFG","MLE","4.6 [2.6-7.8]","4.56000","2.59000","7.78000",""
"SDGSUICIDE","PUBLISHED","2006","EMR","","AFG","MLE","5.4 [3.1-8.8]","5.35000","3.08000","8.85000",""
"SDGSUICIDE","PUBLISHED","2014","EMR","","AFG","BTSX","3.9 [2.3-6.6]","3.93000","2.27000","6.55000",""
"SDGSUICIDE","PUBLISHED","2008","EMR","","AFG","MLE","5.1 [2.9-8.4]","5.05000","2.91000","8.40000",""
"SDGSUICIDE","PUBLISHED","2018","EMR","","AFG","BTSX","4.1 [2.3-6.8]","4.06000","2.30000","6.82000",""
"SDGSUICIDE","PUBLISHED","2004","EMR","","AFG","FMLE","4.6 [2.7-7.5]","4.64000","2.68000","7.45000",""
"SDGSUICIDE","PUBLISHED","2011","EMR","","AFG","MLE","4.5 [2.6-7.5]","4.45000","2.57000","7.48000",""
"SDGSUICIDE","PUBLISHED","2003","EMR","","AFG","FMLE","4.6 [2.7-7.4]","4.60000","2.68000","7.43000",""
"SDGSUICIDE","PUBLISHED","2015","EMR","","AFG","BTSX","4.0 [2.3-6.6]","3.97000","2.30000","6.61000",""
"SDGSUICIDE","PUBLISHED","2012","EMR","","AFG","FMLE","3.7 [2.2-6.0]","3.68000","2.15000","5.96000",""
"SDGSUICIDE","PUBLISHED","2014","EMR","","AFG","FMLE","3.6 [2.1-5.9]","3.60000","2.08000","5.87000",""
"SDGSUICIDE","PUBLISHED","2013","EMR","","AFG","FMLE","3.7 [2.1-6.0]","3.66000","2.12000","5.97000",""
"SDGSUICIDE","PUBLISHED","2001","EMR","","AFG","BTSX","5.0 [2.9-8.2]","5.03000","2.86000","8.22000",""
"SDGSUICIDE","PUBLISHED","2016","EMR","","AFG","FMLE","3.6 [2.1-5.9]","3.61000","2.05000","5.94000",""
"SDGSUICIDE","PUBLISHED","2010","EMR","","AFG","MLE","4.6 [2.7-7.7]","4.64000","2.67000","7.74000",""
"SDGSUICIDE","PUBLISHED","2002","EMR","","AFG","BTSX","5.0 [2.9-8.2]","5.00000","2.85000","8.21000",""
"SDGSUICIDE","PUBLISHED","2013","EMR","","AFG","MLE","4.3 [2.5-7.4]","4.34000","2.52000","7.36000",""
"SDGSUICIDE","PUBLISHED","2008","EMR","","AFG","BTSX","4.6 [2.7-7.6]","4.61000","2.67000","7.56000",""
"SDGSUICIDE","PUBLISHED","2014","EMR","","AFG","MLE","4.2 [2.5-7.2]","4.24000","2.46000","7.19000",""
"SDGSUICIDE","PUBLISHED","2007","EMR","","AFG","FMLE","4.3 [2.5-6.9]","4.29000","2.50000","6.91000",""
"SDGSUICIDE","PUBLISHED","2019","EMR","","AFG","BTSX","4.1 [2.3-7.0]","4.13000","2.34000","6.96000",""
"SDGSUICIDE","PUBLISHED","2009","EMR","","AFG","BTSX","4.4 [2.6-7.2]","4.39000","2.55000","7.19000",""
"SDGSUICIDE","PUBLISHED","2003","EMR","","AFG","BTSX","5.0 [2.8-8.1]","4.95000","2.84000","8.10000",""
"SDGSUICIDE","PUBLISHED","2000","EMR","","AFG","BTSX","4.9 [2.8-8.0]","4.91000","2.79000","8.02000",""
"SDGSUICIDE","PUBLISHED","2019","EMR","","AFG","FMLE","3.6 [2.0-5.9]","3.61000","2.04000","5.94000",""
