SEX,COUNTRY,YEAR,rate
FMLE,AFG,2010,3.88
FMLE,AFG,2018,3.52
BTSX,AFG,2010,4.27
MLE,AFG,2018,4.56
BTSX,AFG,2014,3.93
BTSX,AFG,2018,4.06
MLE,AFG,2011,4.45
BTSX,AFG,2015,3.97
FMLE,AFG,2012,3.68
FMLE,AFG,2014,3.6
FMLE,AFG,2013,3.66
FMLE,AFG,2016,3.61
MLE,AFG,2010,4.64
MLE,AFG,2013,4.34
MLE,AFG,2014,4.24
BTSX,AFG,2019,4.13
FMLE,AFG,2019,3.61
BTSX,AFG,2017,4.06
BTSX,AFG,2013,4.01
MLE,AFG,2012,4.33
FMLE,AFG,2017,3.44
MLE,AFG,2019,4.63
BTSX,AFG,2012,4.01
BTSX,AFG,2011,4.12
MLE,AFG,2015,4.34
MLE,AFG,2016,4.39
BTSX,AFG,2016,4.01
MLE,AFG,2017,4.64
FMLE,AFG,2011,3.77
FMLE,AFG,2015,3.57
MLE,AGO,2019,9.95
FMLE,AGO,2016,2.58
FMLE,AGO,2015,2.56
FMLE,AGO,2012,2.72
MLE,AGO,2015,10.4614
BTSX,AGO,2014,6.38
MLE,AGO,2013,11.314
FMLE,AGO,2010,2.86
MLE,AGO,2010,11.1764
BTSX,AGO,2017,6.02
FMLE,AGO,2011,2.65
BTSX,AGO,2018,6.0
BTSX,AGO,2016,6.23
MLE,AGO,2012,11.2341
MLE,AGO,2011,10.5968
FMLE,AGO,2014,2.42
FMLE,AGO,2018,2.28
BTSX,AGO,2019,6.08
BTSX,AGO,2015,6.47
BTSX,AGO,2013,6.92
MLE,AGO,2016,9.96
BTSX,AGO,2011,6.58
MLE,AGO,2017,9.67
MLE,AGO,2018,9.8
FMLE,AGO,2017,2.43
MLE,AGO,2014,10.4403
BTSX,AGO,2012,6.93
FMLE,AGO,2019,2.3
BTSX,AGO,2010,6.97
FMLE,AGO,2013,2.63
BTSX,ALB,2017,4.67
BTSX,ALB,2018,4.52
MLE,ALB,2017,6.33
FMLE,ALB,2017,2.94
BTSX,ALB,2012,5.18
MLE,ALB,2019,5.94
FMLE,ALB,2012,3.42
BTSX,ALB,2013,5.26
FMLE,ALB,2011,8.33
BTSX,ALB,2015,4.76
MLE,ALB,2011,7.48
MLE,ALB,2014,6.63
MLE,ALB,2013,6.93
FMLE,ALB,2019,2.68
BTSX,ALB,2010,7.83
FMLE,ALB,2010,6.12
BTSX,ALB,2011,7.9
BTSX,ALB,2014,4.95
FMLE,ALB,2018,2.8
MLE,ALB,2012,6.88
FMLE,ALB,2016,3.05
FMLE,ALB,2014,3.22
FMLE,ALB,2013,3.54
FMLE,ALB,2015,3.17
MLE,ALB,2018,6.18
MLE,ALB,2010,9.52
MLE,ALB,2015,6.28
BTSX,ALB,2019,4.34
MLE,ALB,2016,6.27
BTSX,ALB,2016,4.69
BTSX,ARE,2016,5.95
BTSX,ARE,2011,8.15
MLE,ARE,2013,9.13
FMLE,ARE,2011,3.22
BTSX,ARE,2019,6.43
BTSX,ARE,2018,6.04
FMLE,ARE,2018,2.89
MLE,ARE,2010,10.1072
FMLE,ARE,2017,2.8
FMLE,ARE,2016,2.86
MLE,ARE,2019,7.96
FMLE,ARE,2014,3.12
BTSX,ARE,2013,7.49
MLE,ARE,2015,7.93
FMLE,ARE,2012,3.19
MLE,ARE,2018,7.43
FMLE,ARE,2013,3.2
MLE,ARE,2012,9.55
MLE,ARE,2017,6.83
FMLE,ARE,2015,3.01
FMLE,ARE,2019,2.97
MLE,ARE,2016,7.29
BTSX,ARE,2012,7.86
MLE,ARE,2014,8.58
BTSX,ARE,2017,5.6
MLE,ARE,2011,9.85
BTSX,ARE,2015,6.47
FMLE,ARE,2010,3.25
BTSX,ARE,2014,7.01
BTSX,ARE,2010,8.38
BTSX,ARG,2012,9.13
BTSX,ARG,2015,8.3
MLE,ARG,2012,15.1105
BTSX,ARG,2010,8.55
FMLE,ARG,2013,3.17
FMLE,ARG,2016,3.13
FMLE,ARG,2010,3.16
MLE,ARG,2018,15.0598
BTSX,ARG,2017,8.86
FMLE,ARG,2012,3.45
BTSX,ARG,2014,9.27
MLE,ARG,2010,14.2274
MLE,ARG,2019,13.6713
MLE,ARG,2015,13.5922
BTSX,ARG,2013,8.56
FMLE,ARG,2011,3.31
FMLE,ARG,2014,3.71
MLE,ARG,2014,15.1165
FMLE,ARG,2019,3.32
MLE,ARG,2013,14.2312
MLE,ARG,2011,14.0335
FMLE,ARG,2017,3.54
FMLE,ARG,2015,3.27
BTSX,ARG,2018,9.17
FMLE,ARG,2018,3.56
BTSX,ARG,2016,8.27
MLE,ARG,2016,13.6801
BTSX,ARG,2019,8.37
BTSX,ARG,2011,8.53
MLE,ARG,2017,14.4612
FMLE,ARM,2012,4.42
BTSX,ARM,2017,2.99
BTSX,ARM,2012,7.44
FMLE,ARM,2014,4.63
FMLE,ARM,2011,4.42
MLE,ARM,2018,3.42
MLE,ARM,2013,7.63
FMLE,ARM,2010,3.49
BTSX,ARM,2019,3.32
FMLE,ARM,2017,0.721
MLE,ARM,2017,5.54
MLE,ARM,2016,9.23
MLE,ARM,2012,10.8577
BTSX,ARM,2013,6.36
FMLE,ARM,2018,0.889
BTSX,ARM,2010,6.75
BTSX,ARM,2014,6.26
BTSX,ARM,2018,2.08
MLE,ARM,2014,8.1
MLE,ARM,2015,8.9
BTSX,ARM,2015,6.15
FMLE,ARM,2016,2.58
