year,sex,rate,Twitter users (in million),Facebook users (in million)
2010,BTSX,10.763750273224042,54,608
2010,FMLE,5.0960743169398866,54,608
2010,MLE,16.600604972677605,54,608
2011,BTSX,10.621872677595624,117,845
2011,FMLE,5.003518032786888,117,845
2011,MLE,16.400655737704913,117,845
2012,BTSX,10.61253278688525,185,1056
2012,FMLE,4.976507650273226,185,1056
2012,MLE,16.410944808743178,185,1056
2013,BTSX,10.45366120218579,241,1228
2013,FMLE,4.875551912568306,241,1228
2013,MLE,16.18842349726777,241,1228
2014,BTSX,10.31686229508197,288,1393
2014,FMLE,4.821203825136613,288,1393
2014,MLE,15.962274316939897,288,1393
2015,BTSX,10.13703005464481,305,1591
2015,FMLE,4.750519672131148,305,1591
2015,MLE,15.662674863387975,305,1591
2016,BTSX,9.867826229508196,318,1860
2016,FMLE,4.547211475409835,318,1860
2016,MLE,15.321206010928961,318,1860
2017,BTSX,9.666024590163936,330,2129
2017,FMLE,4.4178218579234985,330,2129
2017,MLE,15.032751366120221,330,2129
2018,BTSX,9.557521366120218,321,2320
2018,FMLE,4.37512732240437,321,2320
2018,MLE,14.847692349726765,321,2320
2019,BTSX,9.451499453551905,340,2498
2019,FMLE,4.34538032786885,340,2498
2019,MLE,14.653996721311476,340,2498
