YEAR,SEX,rate
2010,BTSX,10.763750273224042
2010,FMLE,5.0960743169398866
2010,MLE,16.600604972677605
2011,BTSX,10.621872677595624
2011,FMLE,5.003518032786888
2011,MLE,16.400655737704913
2012,BTSX,10.61253278688525
2012,FMLE,4.976507650273226
2012,MLE,16.410944808743178
2013,BTSX,10.45366120218579
2013,FMLE,4.875551912568306
2013,MLE,16.18842349726777
2014,BTSX,10.31686229508197
2014,FMLE,4.821203825136613
2014,MLE,15.962274316939897
2015,BTSX,10.13703005464481
2015,FMLE,4.750519672131148
2015,MLE,15.662674863387975
2016,BTSX,9.867826229508196
2016,FMLE,4.547211475409835
2016,MLE,15.321206010928961
2017,BTSX,9.666024590163936
2017,FMLE,4.4178218579234985
2017,MLE,15.032751366120221
2018,BTSX,9.557521366120218
2018,FMLE,4.37512732240437
2018,MLE,14.847692349726765
2019,BTSX,9.451499453551905
2019,FMLE,4.34538032786885
2019,MLE,14.653996721311476
