rate,YEAR,COUNTRY,SEX
3.88,2010,AFG,FMLE
3.52,2018,AFG,FMLE
4.27,2010,AFG,BTSX
4.56,2018,AFG,MLE
3.93,2014,AFG,BTSX
4.06,2018,AFG,BTSX
4.45,2011,AFG,MLE
3.97,2015,AFG,BTSX
3.68,2012,AFG,FMLE
3.6,2014,AFG,FMLE
3.66,2013,AFG,FMLE
3.61,2016,AFG,FMLE
4.64,2010,AFG,MLE
4.34,2013,AFG,MLE
4.24,2014,AFG,MLE
4.13,2019,AFG,BTSX
3.61,2019,AFG,FMLE
4.06,2017,AFG,BTSX
4.01,2013,AFG,BTSX
4.33,2012,AFG,MLE
3.44,2017,AFG,FMLE
4.63,2019,AFG,MLE
4.01,2012,AFG,BTSX
4.12,2011,AFG,BTSX
4.34,2015,AFG,MLE
4.39,2016,AFG,MLE
4.01,2016,AFG,BTSX
4.64,2017,AFG,MLE
3.77,2011,AFG,FMLE
3.57,2015,AFG,FMLE
9.95,2019,AGO,MLE
2.58,2016,AGO,FMLE
2.56,2015,AGO,FMLE
2.72,2012,AGO,FMLE
10.4614,2015,AGO,MLE
6.38,2014,AGO,BTSX
11.314,2013,AGO,MLE
2.86,2010,AGO,FMLE
11.1764,2010,AGO,MLE
6.02,2017,AGO,BTSX
2.65,2011,AGO,FMLE
6.0,2018,AGO,BTSX
6.23,2016,AGO,BTSX
11.2341,2012,AGO,MLE
10.5968,2011,AGO,MLE
2.42,2014,AGO,FMLE
2.28,2018,AGO,FMLE
6.08,2019,AGO,BTSX
6.47,2015,AGO,BTSX
6.92,2013,AGO,BTSX
9.96,2016,AGO,MLE
6.58,2011,AGO,BTSX
9.67,2017,AGO,MLE
9.8,2018,AGO,MLE
2.43,2017,AGO,FMLE
10.4403,2014,AGO,MLE
6.93,2012,AGO,BTSX
2.3,2019,AGO,FMLE
6.97,2010,AGO,BTSX
2.63,2013,AGO,FMLE
4.67,2017,ALB,BTSX
4.52,2018,ALB,BTSX
6.33,2017,ALB,MLE
2.94,2017,ALB,FMLE
5.18,2012,ALB,BTSX
5.94,2019,ALB,MLE
3.42,2012,ALB,FMLE
5.26,2013,ALB,BTSX
8.33,2011,ALB,FMLE
4.76,2015,ALB,BTSX
7.48,2011,ALB,MLE
6.63,2014,ALB,MLE
6.93,2013,ALB,MLE
2.68,2019,ALB,FMLE
7.83,2010,ALB,BTSX
6.12,2010,ALB,FMLE
7.9,2011,ALB,BTSX
4.95,2014,ALB,BTSX
2.8,2018,ALB,FMLE
6.88,2012,ALB,MLE
3.05,2016,ALB,FMLE
3.22,2014,ALB,FMLE
3.54,2013,ALB,FMLE
3.17,2015,ALB,FMLE
6.18,2018,ALB,MLE
9.52,2010,ALB,MLE
6.28,2015,ALB,MLE
4.34,2019,ALB,BTSX
6.27,2016,ALB,MLE
4.69,2016,ALB,BTSX
5.95,2016,ARE,BTSX
8.15,2011,ARE,BTSX
9.13,2013,ARE,MLE
3.22,2011,ARE,FMLE
6.43,2019,ARE,BTSX
6.04,2018,ARE,BTSX
2.89,2018,ARE,FMLE
10.1072,2010,ARE,MLE
2.8,2017,ARE,FMLE
2.86,2016,ARE,FMLE
7.96,2019,ARE,MLE
3.12,2014,ARE,FMLE
7.49,2013,ARE,BTSX
7.93,2015,ARE,MLE
3.19,2012,ARE,FMLE
7.43,2018,ARE,MLE
3.2,2013,ARE,FMLE
9.55,2012,ARE,MLE
6.83,2017,ARE,MLE
3.01,2015,ARE,FMLE
2.97,2019,ARE,FMLE
7.29,2016,ARE,MLE
7.86,2012,ARE,BTSX
8.58,2014,ARE,MLE
5.6,2017,ARE,BTSX
9.85,2011,ARE,MLE
6.47,2015,ARE,BTSX
3.25,2010,ARE,FMLE
7.01,2014,ARE,BTSX
8.38,2010,ARE,BTSX
9.13,2012,ARG,BTSX
8.3,2015,ARG,BTSX
15.1105,2012,ARG,MLE
8.55,2010,ARG,BTSX
3.17,2013,ARG,FMLE
3.13,2016,ARG,FMLE
3.16,2010,ARG,FMLE
15.0598,2018,ARG,MLE
8.86,2017,ARG,BTSX
3.45,2012,ARG,FMLE
9.27,2014,ARG,BTSX
14.2274,2010,ARG,MLE
13.6713,2019,ARG,MLE
13.5922,2015,ARG,MLE
8.56,2013,ARG,BTSX
3.31,2011,ARG,FMLE
3.71,2014,ARG,FMLE
15.1165,2014,ARG,MLE
3.32,2019,ARG,FMLE
14.2312,2013,ARG,MLE
14.0335,2011,ARG,MLE
3.54,2017,ARG,FMLE
3.27,2015,ARG,FMLE
9.17,2018,ARG,BTSX
3.56,2018,ARG,FMLE
8.27,2016,ARG,BTSX
13.6801,2016,ARG,MLE
8.37,2019,ARG,BTSX
8.53,2011,ARG,BTSX
14.4612,2017,ARG,MLE
4.42,2012,ARM,FMLE
2.99,2017,ARM,BTSX
7.44,2012,ARM,BTSX
4.63,2014,ARM,FMLE
4.42,2011,ARM,FMLE
3.42,2018,ARM,MLE
7.63,2013,ARM,MLE
3.49,2010,ARM,FMLE
3.32,2019,ARM,BTSX
0.721,2017,ARM,FMLE
5.54,2017,ARM,MLE
9.23,2016,ARM,MLE
10.8577,2012,ARM,MLE
6.36,2013,ARM,BTSX
0.889,2018,ARM,FMLE
6.75,2010,ARM,BTSX
6.26,2014,ARM,BTSX
2.08,2018,ARM,BTSX
8.1,2014,ARM,MLE
8.9,2015,ARM,MLE
6.15,2015,ARM,BTSX
2.58,2016,ARM,FMLE
1.3,2019,ARM,FMLE
6.8,2011,ARM,BTSX
5.24,2013,ARM,FMLE
10.4544,2010,ARM,MLE
5.71,2016,ARM,BTSX
5.58,2019,ARM,MLE
9.5,2011,ARM,MLE
3.71,2015,ARM,FMLE
0.163,2011,ATG,FMLE
0.441,2014,ATG,BTSX
1.03,2016,ATG,FMLE
0.0,2015,ATG,MLE
0.175,2011,ATG,MLE
0.439,2015,ATG,BTSX
0.0,2013,ATG,BTSX
0.156,2010,ATG,BTSX
0.0,2017,ATG,FMLE
0.85,2014,ATG,FMLE
0.0,2014,ATG,MLE
0.0,2013,ATG,MLE
0.38,2018,ATG,BTSX
0.0,2019,ATG,MLE
0.0,2018,ATG,MLE
0.734,2018,ATG,FMLE
0.0,2012,ATG,MLE
0.0,2012,ATG,FMLE
0.169,2011,ATG,BTSX
0.0,2017,ATG,BTSX
0.0,2013,ATG,FMLE
0.757,2019,ATG,FMLE
0.0,2017,ATG,MLE
0.0,2016,ATG,MLE
0.0,2012,ATG,BTSX
0.325,2010,ATG,MLE
0.0,2010,ATG,FMLE
0.392,2019,ATG,BTSX
0.536,2016,ATG,BTSX
0.846,2015,ATG,FMLE
6.86,2017,AUS,FMLE
16.7623,2011,AUS,MLE
11.6844,2010,AUS,BTSX
6.42,2019,AUS,FMLE
11.5112,2013,AUS,BTSX
13.1345,2017,AUS,BTSX
19.7387,2015,AUS,MLE
12.4461,2018,AUS,BTSX
18.729,2018,AUS,MLE
12.6557,2014,AUS,BTSX
11.2193,2011,AUS,BTSX
6.45,2014,AUS,FMLE
6.35,2012,AUS,FMLE
6.37,2016,AUS,FMLE
6.05,2013,AUS,FMLE
5.67,2010,AUS,FMLE
13.2249,2015,AUS,BTSX
6.76,2015,AUS,FMLE
18.6208,2019,AUS,MLE
12.1697,2016,AUS,BTSX
17.1495,2012,AUS,MLE
11.7423,2012,AUS,BTSX
19.4585,2017,AUS,MLE
6.21,2018,AUS,FMLE
18.8952,2014,AUS,MLE
17.699,2010,AUS,MLE
18.015,2016,AUS,MLE
16.9919,2013,AUS,MLE
12.4975,2019,AUS,BTSX
5.68,2011,AUS,FMLE
24.45,2017,AUT,MLE
7.31,2012,AUT,FMLE
7.6,2015,AUT,FMLE
15.7422,2018,AUT,BTSX
22.7871,2019,AUT,MLE
23.6426,2016,AUT,MLE
25.3029,2014,AUT,MLE
6.65,2019,AUT,FMLE
15.3502,2017,AUT,BTSX
14.5966,2019,AUT,BTSX
16.2247,2013,AUT,BTSX
16.1152,2010,AUT,BTSX
15.9957,2015,AUT,BTSX
24.9236,2018,AUT,MLE
6.57,2017,AUT,FMLE
15.5302,2016,AUT,BTSX
24.7532,2015,AUT,MLE
7.96,2011,AUT,FMLE
24.9233,2013,AUT,MLE
25.3776,2011,AUT,MLE
25.1175,2010,AUT,MLE
6.86,2018,AUT,FMLE
25.7084,2012,AUT,MLE
8.1,2014,AUT,FMLE
7.56,2010,AUT,FMLE
7.73,2016,AUT,FMLE
16.4527,2011,AUT,BTSX
7.92,2013,AUT,FMLE
16.5112,2014,AUT,BTSX
16.2882,2012,AUT,BTSX
4.55,2010,AZE,BTSX
3.99,2016,AZE,BTSX
1.56,2018,AZE,FMLE
1.64,2014,AZE,FMLE
1.68,2013,AZE,FMLE
4.03,2018,AZE,BTSX
7.26,2010,AZE,MLE
1.58,2017,AZE,FMLE
4.27,2013,AZE,BTSX
4.17,2014,AZE,BTSX
7.0,2012,AZE,MLE
4.5,2011,AZE,BTSX
6.41,2016,AZE,MLE
1.85,2011,AZE,FMLE
1.8,2012,AZE,FMLE
4.38,2012,AZE,BTSX
6.74,2014,AZE,MLE
1.59,2016,AZE,FMLE
7.19,2011,AZE,MLE
3.98,2017,AZE,BTSX
4.09,2019,AZE,BTSX
6.9,2013,AZE,MLE
1.9,2010,AZE,FMLE
6.64,2019,AZE,MLE
6.51,2018,AZE,MLE
6.39,2017,AZE,MLE
1.56,2019,AZE,FMLE
6.55,2015,AZE,MLE
4.07,2015,AZE,BTSX
1.61,2015,AZE,FMLE
9.92,2013,BDI,MLE
9.23,2016,BDI,MLE
7.13,2012,BDI,BTSX
6.31,2018,BDI,BTSX
6.37,2017,BDI,BTSX
9.27,2018,BDI,MLE
9.39,2014,BDI,MLE
9.17,2015,BDI,MLE
6.41,2016,BDI,BTSX
3.36,2019,BDI,FMLE
6.24,2019,BDI,BTSX
4.1,2013,BDI,FMLE
3.96,2014,BDI,FMLE
10.3314,2011,BDI,MLE
6.65,2014,BDI,BTSX
6.44,2015,BDI,BTSX
3.4,2018,BDI,FMLE
6.98,2013,BDI,BTSX
10.5952,2010,BDI,MLE
9.29,2017,BDI,MLE
7.39,2011,BDI,BTSX
4.5,2011,BDI,FMLE
4.69,2010,BDI,FMLE
3.77,2015,BDI,FMLE
3.5,2017,BDI,FMLE
9.18,2019,BDI,MLE
3.64,2016,BDI,FMLE
10.0889,2012,BDI,MLE
4.23,2012,BDI,FMLE
7.61,2010,BDI,BTSX
18.5986,2015,BEL,BTSX
11.8395,2019,BEL,FMLE
11.9315,2017,BEL,FMLE
11.6618,2015,BEL,FMLE
11.9139,2018,BEL,FMLE
26.0778,2017,BEL,MLE
18.6592,2018,BEL,BTSX
18.907,2017,BEL,BTSX
19.5197,2013,BEL,BTSX
12.1251,2014,BEL,FMLE
11.8906,2013,BEL,FMLE
11.7969,2012,BEL,FMLE
24.8808,2019,BEL,MLE
27.1085,2016,BEL,MLE
25.7738,2015,BEL,MLE
30.2144,2012,BEL,MLE
12.2065,2010,BEL,FMLE
19.439,2014,BEL,BTSX
29.1292,2010,BEL,MLE
18.2944,2019,BEL,BTSX
29.7021,2011,BEL,MLE
27.428,2013,BEL,MLE
11.663,2016,BEL,FMLE
27.0161,2014,BEL,MLE
21.1255,2011,BEL,BTSX
25.5664,2018,BEL,MLE
20.8403,2012,BEL,BTSX
12.8497,2011,BEL,FMLE
19.2655,2016,BEL,BTSX
20.5172,2010,BEL,BTSX
7.92,2018,BEN,BTSX
12.1287,2016,BEN,MLE
12.0027,2018,BEN,MLE
12.5261,2013,BEN,MLE
8.41,2010,BEN,BTSX
12.5757,2012,BEN,MLE
12.7452,2011,BEN,MLE
8.06,2015,BEN,BTSX
7.81,2019,BEN,BTSX
12.6701,2010,BEN,MLE
3.96,2016,BEN,FMLE
12.1801,2015,BEN,MLE
7.96,2017,BEN,BTSX
8.03,2016,BEN,BTSX
8.45,2011,BEN,BTSX
4.21,2010,BEN,FMLE
11.8045,2019,BEN,MLE
4.11,2013,BEN,FMLE
4.13,2012,BEN,FMLE
12.3895,2014,BEN,MLE
8.3,2013,BEN,BTSX
3.86,2018,BEN,FMLE
4.2,2011,BEN,FMLE
8.21,2014,BEN,BTSX
3.97,2015,BEN,FMLE
4.06,2014,BEN,FMLE
8.33,2012,BEN,BTSX
12.0166,2017,BEN,MLE
3.92,2017,BEN,FMLE
3.83,2019,BEN,FMLE
12.3644,2013,BFA,MLE
3.66,2019,BFA,FMLE
7.7,2017,BFA,BTSX
7.64,2018,BFA,BTSX
8.04,2014,BFA,BTSX
4.08,2011,BFA,FMLE
11.3168,2019,BFA,MLE
11.637,2017,BFA,MLE
3.72,2018,BFA,FMLE
3.92,2016,BFA,FMLE
11.7793,2016,BFA,MLE
11.5817,2018,BFA,MLE
8.27,2013,BFA,BTSX
7.84,2016,BFA,BTSX
8.03,2010,BFA,BTSX
4.27,2010,BFA,FMLE
4.21,2013,BFA,FMLE
7.86,2011,BFA,BTSX
4.09,2014,BFA,FMLE
3.78,2017,BFA,FMLE
11.7005,2011,BFA,MLE
4.19,2012,BFA,FMLE
7.48,2019,BFA,BTSX
11.8527,2010,BFA,MLE
4.03,2015,BFA,FMLE
8.26,2012,BFA,BTSX
12.0201,2014,BFA,MLE
12.3779,2012,BFA,MLE
7.96,2015,BFA,BTSX
11.9301,2015,BFA,MLE
3.41,2015,BGD,BTSX
5.05,2016,BGD,MLE
5.08,2014,BGD,MLE
3.68,2019,BGD,BTSX
5.64,2011,BGD,MLE
3.56,2018,BGD,BTSX
3.39,2016,BGD,BTSX
2.15,2012,BGD,FMLE
1.95,2013,BGD,FMLE
1.8,2014,BGD,FMLE
6.28,2010,BGD,MLE
1.63,2018,BGD,FMLE
1.62,2017,BGD,FMLE
3.67,2012,BGD,BTSX
3.96,2011,BGD,BTSX
4.99,2015,BGD,MLE
1.69,2016,BGD,FMLE
3.47,2014,BGD,BTSX
2.22,2011,BGD,FMLE
5.46,2018,BGD,MLE
1.65,2019,BGD,FMLE
3.48,2017,BGD,BTSX
1.79,2015,BGD,FMLE
5.14,2012,BGD,MLE
5.01,2013,BGD,MLE
5.3,2017,BGD,MLE
4.38,2010,BGD,BTSX
2.41,2010,BGD,FMLE
3.5,2013,BGD,BTSX
5.66,2019,BGD,MLE
10.2905,2017,BGR,BTSX
4.88,2014,BGR,FMLE
4.46,2015,BGR,FMLE
12.5411,2012,BGR,BTSX
9.73,2019,BGR,BTSX
5.6,2012,BGR,FMLE
16.3146,2014,BGR,MLE
4.29,2018,BGR,FMLE
19.8554,2012,BGR,MLE
9.67,2018,BGR,BTSX
16.1192,2017,BGR,MLE
4.53,2011,BGR,FMLE
15.5098,2015,BGR,MLE
9.83,2015,BGR,BTSX
5.88,2010,BGR,FMLE
4.3,2013,BGR,FMLE
10.504,2013,BGR,BTSX
4.46,2016,BGR,FMLE
4.78,2017,BGR,FMLE
9.65,2016,BGR,BTSX
17.0504,2013,BGR,MLE
15.3614,2018,BGR,MLE
11.0106,2011,BGR,BTSX
15.1227,2016,BGR,MLE
12.3531,2010,BGR,BTSX
17.8377,2011,BGR,MLE
19.1777,2010,BGR,MLE
15.3244,2019,BGR,MLE
4.44,2019,BGR,FMLE
10.4455,2014,BGR,BTSX
11.2585,2010,BHR,MLE
9.88,2013,BHR,MLE
11.4434,2017,BHR,MLE
8.56,2018,BHR,BTSX
8.08,2017,BHR,BTSX
8.18,2010,BHR,BTSX
10.4293,2015,BHR,MLE
2.74,2012,BHR,FMLE
2.63,2013,BHR,FMLE
2.37,2019,BHR,FMLE
10.875,2011,BHR,MLE
7.4,2012,BHR,BTSX
8.86,2019,BHR,BTSX
3.08,2010,BHR,FMLE
10.4378,2014,BHR,MLE
7.66,2016,BHR,BTSX
2.37,2018,BHR,FMLE
7.11,2013,BHR,BTSX
2.59,2014,BHR,FMLE
2.36,2017,BHR,FMLE
10.8589,2016,BHR,MLE
7.42,2014,BHR,BTSX
2.49,2015,BHR,FMLE
2.4,2016,BHR,FMLE
3.04,2011,BHR,FMLE
12.099,2018,BHR,MLE
